temp,feelslike,dew,humidity,precip,precipprob,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk
15.3,15.3,7.7,60.75,0,0,0,0,25.2,10.4,337,1021.7,100,10,57,0.2,1,10
14,14,9,71.85,0,0,0,0,26.3,14.8,30,1022.5,88,10,19,0.1,0,10
13.5,13.5,8,69.37,0,0,0,0,27,13,45,1023,94,10,1,0,0,10
14,14,7.1,63.15,0,0,0,0,27,8.4,46,1023.3,99.8,10.2,0,0,0,10
14,14,8,67.15,0,0,0,0,24.5,13.9,25,1024,100,10,0,0,0,10
14,14,8,67.15,0,0,0,0,24.5,16.6,25,1024,100,10,0,0,0,10
14,14,6.8,61.87,0,0,0,0,24.5,7.5,340,1024.2,100,10,0,0,0,10
13.5,13.5,8,69.37,0,0,0,0,26.3,16.6,20,1024,100,10,0,0,0,10
13,13,8,71.66,0,0,0,0,24.8,15.7,15,1025,100,10,0,0,0,10
12.9,12.9,7.6,70.08,0,0,0,0,27.7,8.9,41,1024.6,100,10.2,0,0,0,10
12,12,8,76.52,0,0,0,0,30.6,19.4,20,1024,100,10,0,0,0,10
12.5,12.5,8,74.04,0,0,0,0,32.4,14.8,25,1024,100,10,0,0,0,10
12.8,12.8,7.8,71.56,0,0,0,0,34.2,10.6,338,1024.3,99.8,10,0,0,0,10
13,13,6,62.48,0.1,100,0,0,38.5,17.5,25,1025,100,10,0,0,0,10
13,13,5.5,60.36,0,0,0,0,41.8,18.4,15,1026,100,10,0,0,0,10
13.1,13.1,5.5,59.92,0,0,0,0,41.8,13.3,35,1026.8,100,10.2,1,0,0,10
14,14,6,58.55,0,0,0,0,42.1,16.6,5,1028,100,10,14,0.1,0,10
14,14,6,58.55,0,0,0,0,41.4,18.5,360,1028,100,10,29,0.1,0,10
15,15,5,51.13,0,0,0,0,37.8,12.9,32,1028.1,90,10,46,0.2,0,10
16,16,7,55.14,0,0,0,0,35.3,15.7,345,1027,100,10,73,0.3,1,10
16.5,16.5,6.5,51.61,0,0,0,0,31,16.6,340,1025.5,100,10,83,0.3,1,10
16.4,16.4,8.3,58.9,0,0,0,0,24.1,12.4,319,1024.7,85.7,10.4,61,0.2,1,10
18,18,7,48.58,0,0,0,0,20.5,11.2,10,1023.5,27.5,10,81,0.3,1,10
18,18,8,52.01,0,0,0,0,19.8,13,355,1023,50,10,94,0.3,1,10
17.5,17.5,7.4,51.81,0,0,0,0,20.9,5,346,1023.1,82.3,10.2,99,0.4,1,10
17,17,8,55.4,0,0,0,0,17.6,12.1,330,1023.5,84.3,10,50,0.2,1,10
16.5,16.5,8.5,59.17,0,0,0,0,16.2,7.6,340,1024,100,10,2,0,0,10
15.9,15.9,8.9,63.28,0,0,0,0,11.5,4.2,333,1024.4,97.6,10.2,0,0,0,10
16,16,9,63.17,0,0,0,0,9.7,6.5,355,1025,100,10,0,0,0,10
16,16,8,59.04,0,0,0,0,6.8,6.5,25,1025.5,100,10,0,0,0,10
15.8,15.8,9.2,64.89,0,0,0,0,6.1,3.2,35,1025.9,100,10,0,0,0,10
15,15,7.5,60.83,0,0,0,0,7.9,9.4,35,1026,100,10,0,0,0,10
15,15,6.5,56.81,0,0,0,0,11.9,10.3,25,1026,100,10,0,0,0,10
15.3,15.3,5.7,52.46,0,0,0,0,23.4,8.2,338,1025.7,99.7,10.2,0,0,0,10
14,14,5.5,56.55,0,0,0,0,29.9,11.2,15,1025,100,10,0,0,0,10
14,14,5,54.62,0,0,0,0,35.6,12.1,10,1025,99.9,10,0,0,0,10
14.4,14.4,3.8,49.01,0,0,0,0,35.6,12.7,338,1025.1,99.8,10,0,0,0,10
14,14,3,47.47,0,0,0,0,37.8,16.6,20,1025.5,100,10,0,0,0,10
14,14,3,47.47,0,0,0,0,41,14.8,10,1026.5,100,10,0,0,0,10
13.9,13.9,2.8,47.03,0,0,0,0,41,10.8,338,1027.3,99.4,10.2,3,0,0,10
14,14,2.5,45.81,0,0,0,0,40,13.9,10,1028.5,71.9,10,68,0.2,1,10
15,15,2,41.45,0,0,0,0,36,19.4,15,1029,46.9,10,265,1,3,10
15.6,15.6,1.8,39.27,0,0,0,0,31.3,13.1,337,1029.1,99.8,10,522,1.9,5,10
16,16,2.5,40.28,0,0,0,0,28.4,13,5,1028.5,75.7,10,680,2.4,7,10
16.5,16.5,2.5,39.02,0,0,0,0,27.4,13.9,355,1026.5,5.7,10,743,2.7,7,10
17.2,17.2,1.8,35.41,0,0,0,0,25.2,10.9,338,1026.1,100,10.2,740,2.7,7,10
17,17,3,39.17,0,0,0,0,24.8,14.8,345,1025,86.2,10,655,2.4,7,10
17,17,3,39.17,0,0,0,0,23.4,13,335,1025,51.3,10,517,1.9,5,10
23.1,23.1,2.1,25.22,0,0,0,0,23.4,6,322,1025,100,10,334,1.2,3,10
15.5,15.5,5.5,51.35,0,0,0,0,24.8,6.5,305,1025.5,86.8,10,109,0.4,1,10
14,14,7,62.72,0,0,0,0,31.7,4.5,330,1026.5,0,6.5,3,0,0,10
13.1,13.1,6.7,65.18,0,0,0,0,23.8,1.1,51,1027.5,2.5,9.2,0,0,0,10
12.5,12.5,7,69.17,0,0,0,0,23,4.5,70,1029,0,6.5,0,0,0,10
13.5,13.5,6,60.48,0,0,0,0,27,8.5,65,1030,0,8.5,0,0,0,10
14.4,14.4,3.7,48.55,0,0,0,0,25.2,2.7,60,1030.3,90,10,0,0,0,10
